case_id,dice_score,iou_score,sensitivity_score
Case32,0.6102856,0.4391446,0.44055164
Case31,0.59251124,0.4209705,0.42772472
Case27,0.65378356,0.4856452,0.491461
Case26,0.6878228,0.5241844,0.5267622
Case33,0.60899484,0.4378092,0.45694423
Case30,0.6451962,0.47622854,0.48127046
Case29,0.72747177,0.5716744,0.57506233
Case28,0.77848226,0.6373074,0.6504672
Case36,0.52224624,0.35340545,0.3542658
Case37,0.6296964,0.45953062,0.4605375
Case34,0.8604043,0.7550084,0.8133638
Case01,0.65148044,0.48310786,0.4865507
Case35,0.8480839,0.7362376,0.7484312
